Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
KNFRT,-4.558407016108605,117.92,Temel Tüketim,13.399999618530273,14.039999961853027
KONKA,-2.659310981083466,168.13332480000003,Hammadde,38.79999923706055,39.86000061035156
KGYO,0.0,60.3908608,Gayrimenkul,5.429999828338623,5.429999828338623
KRPLS,-1.7118453420561655,40.099797333333335,Temel Tüketim,6.889999866485596,7.010000228881836
KRGYO,-9.999998410542805,118.8,Gayrimenkul,10.800000190734863,12.0
KRSTL,-2.0905904241126096,35.968,Temel Tüketim,5.619999885559082,5.739999771118164
KRONT,-2.4008303138623828,53.36425813333333,Teknoloji,18.700000762939453,19.15999984741211
KBORU,-2.277300124431181,243.1666517333333,Hammadde,72.94999694824219,74.6500015258789
KUTPO,-3.291314319187147,91.8751744,Tüketim,69.05000305175781,71.4000015258789
KTSKR,-2.902370722019883,84.64,Temel Tüketim,55.20000076293945,56.849998474121094
LIDFA,-1.9047675994156248,57.511078399999995,Finans,3.0899999141693115,3.1500000953674316
LKMNH,-2.003002665417132,140.90399573333332,Sağlık,19.56999969482422,19.969999313354492
LRSHO,-3.153150105435783,54.767168,Sanayi,2.1500000953674316,2.2200000286102295
LUKSK,-1.6470606186810663,78.02666666666667,Tüketim,83.5999984741211,85.0
MACKO,-0.5454531582919033,91.1666688,İletişim,109.4000015258789,110.0
MAKIM,-1.6040179946624835,73.28533333333333,Sanayi,19.6299991607666,19.950000762939453
MAKTK,-2.4077061783017357,40.53333333333334,Sanayi,6.079999923706055,6.230000019073486
MAALT,1.2269938650306749,191.59497386666666,Tüketim,825.0,815.0
MRSHL,-1.4413177762525737,526.2509056,Hammadde,1436.0,1457.0
MRGYO,-5.22875328117732,52.730700799999994,Gayrimenkul,1.4500000476837158,1.5299999713897705
MARTI,-2.893888013026394,60.01404586666667,Tüketim,3.0199999809265137,3.109999895095825
MTRKS,-2.440323514653547,149.7307648,Finans,18.389999389648438,18.850000381469727
MEDTR,-0.9790801961606692,176.5166592,Sağlık,44.5,44.939998626708984
MEGMT,-3.3411057420308725,219.77332053333333,Sanayi,24.8799991607666,25.739999771118164
MEKAG,2.507098873924432,90.29166933333333,Hammadde,43.34000015258789,42.279998779296875
MNDRS,-0.6465459878108498,85.22138453333334,Tüketim,9.220000267028809,9.279999732971191
MERCN,4.477614914555761,88.83979946666666,Hammadde,14.0,13.399999618530273
MERIT,-4.859152039798576,151.582208,Tüketim,13.510000228881836,14.199999809265137
MERKO,0.43041909198572165,47.19213226666667,Temel Tüketim,14.0,13.9399995803833
METUR,-0.5201555468841607,55.08,Kamu Hizmetleri,15.300000190734863,15.380000114440918
METRO,-0.310558707279667,56.42816426666666,Temel Tüketim,3.2100000381469727,3.2200000286102295
MHRGY,-3.0172385886647377,124.0499968,Gayrimenkul,4.5,4.639999866485596
MSGYO,-1.1185618846653538,79.09973333333333,Gayrimenkul,17.68000030517578,17.8799991607666
MOBTL,-1.7543842876061837,133.9333376,Teknoloji,3.9200000762939453,3.990000009536743
MNDTR,-3.150912945432513,204.21312853333333,Tüketim,5.840000152587891,6.03000020980835
EGEPO,-4.435144279753621,95.1666688,Sağlık,22.84000015258789,23.899999618530273
NTGAZ,-0.5291042223046759,129.71999573333332,Enerji,5.639999866485596,5.670000076293945
NETAS,-4.46128191549688,122.70258346666667,Teknoloji,56.75,59.400001525878906
NIBAS,-3.006127855084559,28.458001066666668,Sanayi,15.8100004196167,16.299999237060547
NUGYO,-1.6830278209398253,78.35965440000001,Gayrimenkul,7.010000228881836,7.130000114440918
OBASE,-3.3290621504427964,45.80333653333333,Teknoloji,30.200000762939453,31.239999771118164
OFSYM,-3.289129054039081,177.7424896,Temel Tüketim,36.459999084472656,37.70000076293945
ONCSM,-2.764738203511177,74.09399466666667,Sağlık,93.19999694824219,95.8499984741211
ONRYT,-2.729531025730748,123.14679466666666,Sanayi,58.79999923706055,60.45000076293945
ORGE,-2.664180889453189,200.32738986666666,Sanayi,78.55000305175781,80.69999694824219
OSMEN,-1.5892433935321761,107.33333333333333,Finans,8.050000190734863,8.180000305175781
OSTIM,-2.240318942885978,50.37344,Finans,9.600000381469727,9.819999694824219
OYYAT,-2.4559215397492116,309.80000426666663,Finans,30.979999542236328,31.760000228881836
OZGYO,-2.3166001840886064,42.16666453333333,Gayrimenkul,5.059999942779541,5.179999828338623
OZSUB,-7.06378598361128,70.51999573333333,Temel Tüketim,35.2599983215332,37.939998626708984
OZYSR,1.7391287762185803,80.496,Diğer,23.399999618530273,23.0
PAMEL,-2.1511610164198767,87.22231466666668,Kamu Hizmetleri,84.1500015258789,86.0
PNLSN,-2.630363141750858,105.49999786666666,Sanayi,42.20000076293945,43.34000015258789
PAGYO,0.24390492012830284,178.78500693333334,Gayrimenkul,61.650001525878906,61.5
PRDGS,-1.0019983204628704,32.27466666666667,Finans,4.940000057220459,4.989999771118164
PRKME,-2.5141086550667118,94.28243626666666,Enerji,19.0,19.489999771118164
PCILT,-1.9975781753139676,63.86955093333333,İletişim,16.190000534057617,16.520000457763672
